what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1443162671636
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1443162672126
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1443162672657
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1443162673419
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1443162674179
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1443162674599
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1443162676590
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1443162677240
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1443162682910
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162685740
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1443162687251
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162687291
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1443162687291
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1443162687291
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162688171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162706710
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162712100
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162745962
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162750931
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162751643
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162757484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162758055
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162764727
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162765823
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162766913
